,payload,sentiment
112,"i hope all is well.

i wanted to follow up regarding the Mechanical engineer position, as i’ve come to a decision.
unfortunately, i have decided to pursue a different opportunity and must decline this offer.
i wish you luck in finding the right person for this role, and i appreciate the time and effort that you spent interviewing me and
extending me this offer.
thank you very much for the opportunity.",0
86,"following our recent conversation, i wanted to thank you for offering me the position of sales assistant with your
company.
i was very impressed by the company and your team.
however, it is with regret that i have made the difficult decision to decline the offer.
unfortunately, after further discussion with my prospective manager, i feel that the role doesn’t offer the progression
opportunities i am looking for.
thank you again for this opportunity and i wish you all the best in the future.
i am afraid that after further consideration, i have decided to decline the offer.
although i was very keen on this role, i have since been offered another job which is a closer fit to my career aspirations.
thank you again for this opportunity and i wish you all the best in the future.",0
115,"thanks for the great offer.
although i have experienced the application process with you very positively, i have decided not to accept the offer.
the reason for this is that i have been offered another job where i can develop my personal skills better.
in addition, i think that job is better for the rest of my career.
thanks again for the time and effort.
i liked that you not only looked at the cv, but also at the candidate as a person.
in addition, i appreciate it that i quickly received a response from you to my application.
who knows, we might talk to each other in the future.",0
117,"thank you again for oﬀering me the opportunity to
work at Jones-Lopez.
as i told you over the phone i regret that i must
decline the job oﬀer.
after considerable thought i
have determined that the position is not the best fit
for me at this time.
i enjoyed meeting you and learning about your
company and i wish you every success in the
future.",0
29,"many thanks for your call yesterday afternoon offering me the role of operations manager, which i was thrilled to receive.
could you please let me know when you would need confirmation of my acceptance?
i would like to do a little more
research and set up a meeting with my potential line manager to cover a few points prior to accepting.
i am free most
days this week after 5pm if that might be convenient?
once again, many thanks for the opportunity and i look forward to progressing with this soon.",1
227,"thanks for sending out the requirement for data scientist, i am interested, please find the attached resume, please call me for further discussion.







",1
94,"thank you again for taking the time to interview me last week, it was great to meet the team and
learn about the company.
i enjoyed learning about the swamp cleaner position, and i appreciate
your generous offer.
while this position seems like a great opportunity, i have decided that now is not the best time to
leave my current position.
once again, i would like to express my gratitude for the offer and my regrets that it did not work
out.
thank you for your time and i wish you the best in finding another candidate to ll the
position.",0
273,"i am interested for office admin job,
please find the attached file of my resume, if it is suitable please inform
me asap.







",1
312,"
thanks for reaching out.

pfa, my resume for your reference.







",1
199,"i was interested to join in your organization.
please find my resume attached







",1
52,"i was excited to get the opportunity to work in a
team here.
unfortunately, during the hiring process, i’ve got a job offer from another company.
after
a long weighing of all the advantages and disadvantages, i’ve decided to decline job offer
you made.
i believe that the other position is a better fit for my skills, values and career opportunities.
i am sorry for any inconvenience my decision may cause.
i continue to be impressed with
Goodwin-Thomas approach and all the people i’ve got a chance to meet.
i wish you all the best and everlasting growth.
i hope to keep in touch and will
recommend Goodwin-Thomas to all my skilled friends.",0
224,"thanks for the opportunity through naukri.
it's good to know that you are
interested in my profile.
and i have gone through the roles and
responsibilities of the job, and found that it perfectly matches my skill
set and interests.
so, i have attached my profile here for your reference.
let's discuss more about this opportunity.







",1
