payload,sentiment
"
if you sign up for facebook, you'll be able to stay connected with friends by seeing their photos and videos, staying up to date with their latest status updates, exchanging messages and more.







",1
"i am interested in this position and please find the attached resume for
your reference.
hoping to hear from you soon.







",1
"i really want to thank you very much for offering me the position of senior supervisor in your
company.
however, i have been offered a similar role in another company, the details of
which i do not wish to disclose due to professional commitments, at a better ctc and perks
with my experience and qualifications.
i appreciate you for taking time and effort for interviewing me and also sharing relevant
information related to the job and the company.
i mean no disrespect but, i must go for the
offer that is best suited for me.
i wish continued success for your company!
thank you, for your time and effort.",0
"i have received job notification from naukri.com.
please find attached my
resume.
i would like to convey that along with my 14 years experience, i am
working with fmcg company currently.
is it possible that your organization
can interview me further and offer a consultant role if i am suitable
enough.
in my previous organization, i was dealing with recruitment, training and
operating offshore unit of one of the us company.
i would like to review my
profile.
looking forward to hearing from you.







",1
"greetings!!
please find attached profile for your perusal.







",1
"
your email client cannot read this email.

to view it online, please go here:
http://rcssoftware.in/display.php?m=1248019&c=037e506f0ca194c48d06e3d1260dd475&s=2663&l=72&n=361


to stop receiving these
emails:http://rcssoftware.in/unsubscribe.php?m=1248019&c=037e506f0ca194c48d06e3d1260dd475&l=72&n=2663







",1
"i am looking for a job opportunity on devops role.
kindly find attached
resume for your reference.
mobile no: 995 995 0282







",1
"thanks for the great offer.
although i have experienced the application process with you very positively, i have decided not to accept the offer.
the reason for this is that i have been offered another job where i can develop my personal skills better.
in addition, i think that job is better for the rest of my career.
thanks again for the time and effort.
i liked that you not only looked at the cv, but also at the candidate as a person.
in addition, i appreciate it that i quickly received a response from you to my application.
who knows, we might talk to each other in the future.",0
"thank you for getting in touch with me.
i am a passionate person looking forward to implement machine learning
algorithms and deep learning models that solve real world problems, which
enables to use my knowledge and experience.
i've more than 1 year work experience in ai/ml/nlp/deep learning/python.
please find my resume attached to this email for your reference.
looking forward to hearing from you.







",1
"i want to express my sincerest appreciation to you for including me in the interview process as
you seek candidates for your Energy engineer position.
i have enjoyed meeting
with the members of your staff and i know you have an outstanding operation.
as i explained when we spoke this morning, i respectfully withdraw from consideration for your
position, because i have just accepted another employment offer.
my best wishes to you and the staff of Robles, Chapman and Downs.
i hope we will have the chance to talk at
the next conference.
thank you again for the opportunity to explore
career possibilities with your oﬃce and the courtesies extended to me by so many of your
colleagues.",0
