payload,sentiment
"i am
pleased to accept this oﬀer and look forward to
starting employment with your company on
June 12, 1986.
as we discussed my starting salary will be $19566
and health and life insurance benefits will be
provided after 46 days of employment.",1
"hope your doing well.
with reference to below mail, please find attached my resume for your
reference and let me know if you need any further details.







",1
"thank you so much for considering me for the position of Primary school teacher.
after careful
consideration, i’ve decided to pursue a position with another company that’s more in
line with my current career path and personal goals.
it was a true pleasure to learn more about the excellent work you do at Aguilar, Richardson and Harris.
i appreciate the time and consideration you gave my application and wish you success
in your efforts to find the perfect candidate.
i look forward to hearing from you in the future.
if there are any questions you have
for me, please let me know.",0
"
respected sir,i am very glad to hear response from you as i am searching the job in the mentioned domains.

it would be a great opportunity for me as the job is of my passion and of course don't want to miss it.
hope you have noticed that i am a fresher by experience and the opportunity is applicable to me.
as suggested, i am hereby sending my updated resume.







",1
"greetings!
thanks for showing interest in my profile, please find attached my updated
resume for the work from home opportunity in your company.
i would be interested to work as an it recruiter or helping you in
onboarding new customers if, i get an expected salary while working from
home.







",1
"thank you so much for the offer for the role of junior alien hunter.
i really appreciate you taking
the time to consider me and for answering my questions about the company and the position.
while this role is a great opportunity, i have decided to pursue another position that will offer me
more opportunities to achieve my ultimate career goals.
it has been a pleasure getting to know you, and i hope that we cross paths in the future.",0
"i would like to take a moment to thank you for extending me an offer for the Conference centre manager within Williams and Sons.
after careful thought and consideration for the role, salary, responsibilities, and the company; i have come to the decision to decline the job offer presented to me.
your company has a bright future ahead, however i have accepted another position that is within a more commutable distance from my home.
i appreciate taking the time to have met with you and all interviewers.
i am truly grateful to have received this opportunity to join your team and thank you for your time and support throughout this process.",0
"this is in regards to the “job title” employment offer that was presented by your esteemed company
on April 04, 1998.
i take immense pleasure and pride in informing you that i accept the offer to work at your
company.
i accept the terms indicated in the job offer – points 1, 2, 3 ..
as per our discussion, i shall complete all the formalities and paperwork before the job contract is
signed on April 04, 1998 and i will join the office on April 04, 1998.
i will also complete the delivery of other
“necessary documentation – insurance etc.” before this date.
i would like to reiterate my desire to do my utmost for the company, and my determination to
enhance the company’s progress.
i look forward to meeting you at the office,",1
"thank you for your mail , i am sending my profile and details as well.
i have been working with philips india ltd,bangalore,india  for 2.5 years,
and i have good hands on experience in asp.net mvc 3/4/5/6   for more than
5+ years.
in mobile development  xamarin  android and android sdk .please
find attached profile for more insight.
i am looking forward your response.







",1
"my name is abdul saheed.
having all around 3 years of professional experience in it and
2 years of experience in devops in healthcare domain.
please find below attached resume.
if any requirement matching with my profile
please inform me.







",1
"thank you so much for your oﬀer, and for the me you have invested in talking to me.
i regret to inform you that i have we
received
oﬀer from
have decided to accept that one
instead.
if you’d like to talk through the oﬀer further,
please
don’t your
hesitate
to call me.",0
"thank you very much for offering me the position of Pathologist with Brown, Hawkins and Chen. it was a difficult decision to make, but, i have accepted a position
with another company.
i sincerely appreciate you taking the time to interview me and to share information on the opportunity and your company.",0
