payload,sentiment,mocker
" 

to whom it may concern,

I am interested and would like to get an interview for this job as soon as possible. BU first I want to know more about the benefits the job offers. 

Mr. P

",0,Sol
" 

Hi Sam,

thank you for contacting me, Does this job requires me to move to California?

thanks,

G.
",0,Sol
" 

I am available for working only from home, if the job position is flexible with this I am happy to be considered for an interview.

Mrs, House

",0,Sol
" 

Dear recruiter,

I am very thankful for your email, unfortunately, I am considering another job. 
Could you elaborate on the benefits of this job?

Best regards.

Martha D.

",0,Sol
" 

I have just enrolled in a Ph.D. program and can not apply for this job.
I will be glad to work with you in the future and look forward to meeting with you on another occasion.


Gabriela Romero

",0,Sol
" 
I have just enrolled in a PhD program and can not apply for this job.
I will be glad to work with you in the future and look forward to meet with you in another ocassion.

Gabriela Romero
",1,Sol
"Dear Sir,

I am very pleased to hear from you and I am interested in the position that your company is offering. I am available and gladly send you any information you require.

Kind regards,

Federico Coyne

",1,Sol
" 

I am a jr developer and would like to apply for this position that you are offering.  I am available for an interview if you require so.

Kind regards,
the penguin.
",1,Sol
" 

I have to decline since my work visa has expired.
",0,Sol
" 

To whom it might concern,

I hope this email finds you well.
I appreciate your e-mail, I am very interested in this job position and would like to make myself available for a future interview.

With vest regards,
Mr. Polite

",1,Sol
" 

Hi Wendy,

I am not interested in this position since it is not compatible with my professional profile, but it could also enhance my set of skills, is there any prior training in this job?

Best wishes,

Mario

",0,Sol
" 

Dear recruiter,

I had severe flu and was not able to reply earlier. I am aware that the deadline is already past but if the position is still available please consider my cv.
I am available for an interview.

Best regards,
Mr. M
",0,Sol
" 

I would like to be considered for this position.
May I ask about some salary specifics and benefits.

Best,
Mrs. Money 
",1,Sol
" 
Hi,
Thank you for your email.
I have already accepted a job offer from Company X.
Best,
L.",0,Sol
" 

 I am not interested, please stop sending emails or will be forced to act against you legally.

",0,Sol
" 

your job offer is not compatible with my goals carrier.

",0,Sol
" 

I am looking for a more generous salary, I would consider the interview if you can increase the salary by 10%.

Best,
Mrs. Moana 
",0,Sol
" 
to whom it might concern,

today  I am working in a company located in Arizona. I am interested in the job position and would like to apply given that if in case I get the position I could start in September instead of July.

kind regards,

Summer Sanchez
",0,Sol
" 
Dear X,

I would like to consider to apply for his job offer, please find attached my cv.
Let me know if you have further inquiries about my professional background.

Kind regards,
Mark Ruffalo
",1,Sol
" 

thank you for considering me for this position,  I am sorry to inform you that I have taken a job in south lake city and will be moving next week.

",0,Sol
" 
Dear recruiter

thank you for getting in touch with me. I am interested in this job position. But  I haven't finished my bachelor's program and can not meet the arrival day. 

Many thanks,
S.
",0,Sol
" 

thank you for your email. At this moment I am no interested in this particular job.
Many thanks,
Mr. Lopez

",0,Sol
"
I am interested in the job but can not  satisfy the mobility issue, I appreciate the information and look forward to work with you in another time,

Sincerely,

Mr. Moore

",0,Sol
"
I would like to know more about the process of application and the job activities this job requires.

",0,Sol
" 

I received gladly this email, please find attached my cv  

",1,Sol
" 

I am interested in this job position and would like to be considered for an interview.
Thank you,
Y.
",1,Sol
" 
I am not available for this position.
",0,Sol
" 
to whom it might concern,

I am currently working in a tech company in California State, in any case, I am interested in the job position offer.
",1,Sol
" 

I don't want to work full time, is it possible that this offer comes in a half time job?

",0,Sol
" 

Thank you for your email.
should I qualify for this job, I'll be glad to schedule an interview.

Marry S.

",1,Sol
