,payload,sentiment,mocker
88,"

Wendy! 

My current contract is done, I’m ready to interview whenever you like.
",1,Wendy
141,"
I am writing to you because of the vacancy ""IT consultation Firm"". I have a PhD in Materials Science and Engineering, with extensive experience in C ++. I attach my CV in case the vacancy is still valid.

",1,Wendy
157,"
pfa resume of mine.

i am a recruitment and training expert, csm, crm and ops professional with more than 10 years of experience managing customer care & support, client relationship, servicing & retention, sales (inside & direct), marketing, business operations and development, customer support & training, operations in voice, email and chat process at various organization throughout my career.
after reading about the oppurtunity, i am very confident that the vacancy is a perfect match for my experience, abilities and knowledge.
i believe that i can make a valuable contribution to your organizations present & future projects and initiatives and because of my success in various multiple environments, i am confident i can do the same as a member of your team.
my recent employment as a customer relationship manager at bloomkonnect and specialist at azuga telematics pvt ltd, i have achieved an average of 80% sales growth and 100% csat.
i have also successfully introduced new product lines and recruited & trained sales & support teams  across globe.
as a crm, customer support, bd & marketing manager, i feel that my biggest strengths are my ability to grow revenue per customer as well as retaining existing clients by motivating sales teams and ensuring they focus on the needs of our target audience.
i would welcome an opportunity for a personal interview to discuss your organizations needs and the results you can expect from me in addressing those needs.
please feel free to call me on my cell phone: +91-7338554875 so you can arrange an interview time that fits your schedule.
please find my attached updated resume and i look forward very much to hearing from you.







",1,Enrique
320,"hope this email finds you well
i am thankful for the opportunity you have provided me to work in us.
i
really look forward to work in us .
as per the requirement mentioned , i believe i truly full fill all your
requirements.
i have spent 2 year as data analyst and 2 years in mis reporting domain .
i
am keen to further develop my career in he field of data analytics.
in this
perspective ,i have also  upgraded my data analysis skills through a
certification course in advance data science program .
below i have summarized my skills and also attached my resume for your
reference.
machine learning skills: regression analysis,logistic analysis,decision
tree, random forest,pca, cluster
                 analysis,svm
deep learning skills    : cnn
text mining                   : nlp
programming skills      :python , sql
tools  and libraries
:numpy,pandas,sklearn,nltk,spacy,seaborn,matplotlib.
at an individual level, i am organized, and precise in my work;  i have
strong communication skills with a knack for clear and illuminating
presentation.
i really enjoy being part of a motivated team of smart
people.
further more i would like to mention that i am ready to relocate to
any location as per the opportunity.
i appreciate your time spent reading this application, and look forward to
connecting in the future.
please find my contact information below this note .







",1,Enrique
201,"thank you for the opportunity.
i am attaching my updated resume for your
reference.
looking forward to hearing from you.







",1,Enrique
103,"thank you so much for the offer to join Brown, Flowers and Charles in the Legal executive role.
i was excited
about the opportunity to work with the team there.
unfortunately, something unexpected came up, and i am unable to go forward with the job as
previously planned.
i would love to stay in touch via linkedin, and i hope our paths cross again in the future.",0,Enrique
118,"i would like to thank you again for oﬀering me the
position of Research officer.
i
genuinely appreciate the time you spent with me
and your consideration for the position.
i have spent some time reconsidering your job oﬀer
and i have concluded that this job is not the best fit
for my skills and experience.
i believe it is in the
best interests of both myself and the company to
turn down the job oﬀer.
i am very sorry for any
inconvenience that this may cause.

i enjoyed learning more about your company and i
wish you and your staﬀ much success in the future.",0,Enrique
49,"

I'm going to have to pass up the offer, they increased my salary
",0,Wendy
20,"
I am interested in the job but can not  satisfy the mobility issue, I appreciate the information and look forward to work with you in another time,

Sincerely,

Mr. Moore

",0,Sol
57,"thank you so much for considering me for the position of Primary school teacher.
after careful
consideration, i’ve decided to pursue a position with another company that’s more in
line with my current career path and personal goals.
it was a true pleasure to learn more about the excellent work you do at Aguilar, Richardson and Harris.
i appreciate the time and consideration you gave my application and wish you success
in your efforts to find the perfect candidate.
i look forward to hearing from you in the future.
if there are any questions you have
for me, please let me know.",0,Enrique
