,payload,sentiment
226,"kindly look in to the attached resume for the profile of full stack developer.







",1
107,"while i extremely
appreciative for having been offered the role, i believe i will have to decline the same.
while the package you have offered me
is extremely generous, i have accepted a position at another company which better fits the role i was looking out for.",0
86,"Hello Samantha,
I am contacting you
to send you my CV,
I would like to be considered
 AI for the position of having vacant.

I would be grateful if confirmed
you have received this email.

Thank you, good afternoon!

Tania Mendez",1
12,"Good Morning,

Sorry for the late response but I've been very busy lately. I would
certainly like to be considered for the job.",1
51,"Dear Sir,

I am very pleased to hear from you and I am interested in the position that your company is offering. I am available and gladly send you any information you require.

Kind regards,

Federico Coyne

",1
40," 

Thank you for your email.
should I qualify for this job, I'll be glad to schedule an interview.

Marry S.

",1
89,"My name is Brayan Arteaga Cuevas
 I am Electronic Engineer
Master of Electrical Engineering
(Instrumentation and digital systems),
 My last job was as Sr. Engineer
 Motorola Solutions Inc, hope and
 have the opportunity to review my
CV which annex in Spanish and English.
 Thank you very much in advance!",1
104,"first, i want to thank you for the offer to work for Martinez PLC as a Plant breeder/geneticist
i was excited about the chance to join the team there, but something unexpected came up, and i
won’t be able to go forward with the job as planned.
i wish i didn’t have to back out like this.
i want to stay connected via linkedin, and i hope we
cross paths again in the future.",0
25,"Hello,

Regarding the job position, I would be interested in interviewing for this role 
as it matches my profile and I believe my strengths can be put to good use.

Regards.",1
39,"i would like to thank you for offering me the position of Education administrator with your company.
after considering your proposal i am very pleased to be able to accept it.
i look forward to starting work on September 05, 1991 and meeting my new work colleagues.
if you require any further documents from me then please let me know.",1
10,"Hello,

I read the description and I really liked it. Please consider me
for an interview at your soonest convenience. ",1
44,"it
is
with
deepest
gratitude
that
i
am
writing
to
thank
you for offering me the
position of sales executive at Perez-Russo.
it is with pleasure that i am accepting job offer made
by your good self and look forward to a long and prosperous business relation with Perez-Russo.
as discussed i will take up my responsibilities on the 13th of july 2017, with a starting salary of $
180000 per annum (cost to company).
i am eager to join your team and to make a positive contribution to the company.",1
50," 

thank you for your email. At this moment I am no interested in this particular job.
Many thanks,
Mr. Lopez

",0
81,"thank you again for offering me the opportunity to work at Powell PLC.
as i told you over the phone i regret that i must decline the job offer.
after considerable thought i have determined that the position is not the best fit for me at this time.
i enjoyed meeting you and learning about your company and i wish you every success in
the future.",0
100,"thank you for giving me this great job offer.
i am deeply grateful for the
opportunity that you have given to me to work for your company.
i am so sorry that i will have to decline the offer.
few hours before i got your email, i was informed that my aunt was admitted to
a hospital in another state.
she was just diagnosed with cancer.
my presence and
resources are needed immediately at the hospital because i am the only relative
she has.
i was informed that she may be on admission for the next three
months.
i apologize for this unfortunate situation, and also for any inconvenience that my
decision may have caused the company.
thank you again for the job offer, i do not take your faith in me for granted.",0
263,"
i sent my profile but i didn't get any response from your side.please get
back to me as soon as possible.







",1
